Date,Three_Mo
05/10/2022,0.89
05/09/2022,0.92
05/06/2022,0.85
05/05/2022,0.85
05/04/2022,0.89
05/03/2022,0.91
05/02/2022,0.90
04/29/2022,0.85
04/28/2022,0.82
04/27/2022,0.82
04/26/2022,0.83
04/25/2022,0.91
04/22/2022,0.83
04/21/2022,0.83
04/20/2022,0.82
04/19/2022,0.81
04/18/2022,0.81
04/14/2022,0.79
04/13/2022,0.75
04/12/2022,0.74
04/11/2022,0.77
04/08/2022,0.70
04/07/2022,0.68
04/06/2022,0.67
04/05/2022,0.65
04/04/2022,0.66
04/01/2022,0.53
03/31/2022,0.52
03/30/2022,0.55
03/29/2022,0.55
03/28/2022,0.59
03/25/2022,0.55
03/24/2022,0.52
03/23/2022,0.50
03/22/2022,0.51
03/21/2022,0.54
03/18/2022,0.42
03/17/2022,0.40
03/16/2022,0.44
03/15/2022,0.46
03/14/2022,0.45
03/11/2022,0.40
03/10/2022,0.39
03/09/2022,0.38
03/08/2022,0.36
03/07/2022,0.38
03/04/2022,0.34
03/03/2022,0.38
03/02/2022,0.34
03/01/2022,0.32
02/28/2022,0.35
02/25/2022,0.33
02/24/2022,0.32
02/23/2022,0.34
02/22/2022,0.37
02/18/2022,0.35
02/17/2022,0.36
02/16/2022,0.38
02/15/2022,0.40
02/14/2022,0.43
02/11/2022,0.36
02/10/2022,0.40
02/09/2022,0.26
02/08/2022,0.25
02/07/2022,0.27
02/04/2022,0.23
02/03/2022,0.20
02/02/2022,0.19
02/01/2022,0.19
01/31/2022,0.22
01/28/2022,0.19
01/27/2022,0.20
01/26/2022,0.19
01/25/2022,0.19
01/24/2022,0.19
01/21/2022,0.17
01/20/2022,0.17
01/19/2022,0.17
01/18/2022,0.16
01/14/2022,0.13
01/13/2022,0.12
01/12/2022,0.12
01/11/2022,0.11
01/10/2022,0.13
01/07/2022,0.10
01/06/2022,0.10
01/05/2022,0.09
01/04/2022,0.08
01/03/2022,0.08
12/31/2021,0.06
12/30/2021,0.05
12/29/2021,0.05
12/28/2021,0.06
12/27/2021,0.06
12/23/2021,0.07
12/22/2021,0.08
12/21/2021,0.07
12/20/2021,0.07
12/17/2021,0.05
12/16/2021,0.05
12/15/2021,0.05
12/14/2021,0.05
12/13/2021,0.05
12/10/2021,0.06
12/09/2021,0.06
12/08/2021,0.07
12/07/2021,0.06
12/06/2021,0.05
12/03/2021,0.06
12/02/2021,0.05
12/01/2021,0.06
11/30/2021,0.05
11/29/2021,0.06
11/26/2021,0.06
11/24/2021,0.06
11/23/2021,0.06
11/22/2021,0.05
11/19/2021,0.05
11/18/2021,0.05
11/17/2021,0.05
11/16/2021,0.05
11/15/2021,0.05
11/12/2021,0.05
11/10/2021,0.05
11/09/2021,0.04
11/08/2021,0.06
11/05/2021,0.05
11/04/2021,0.04
11/03/2021,0.05
11/02/2021,0.05
11/01/2021,0.05
10/29/2021,0.05
10/28/2021,0.06
10/27/2021,0.06
10/26/2021,0.06
10/25/2021,0.06
10/22/2021,0.06
10/21/2021,0.06
10/20/2021,0.05
10/19/2021,0.05
10/18/2021,0.06
10/15/2021,0.05
10/14/2021,0.05
10/13/2021,0.05
10/12/2021,0.06
10/08/2021,0.05
10/07/2021,0.05
10/06/2021,0.04
10/05/2021,0.04
10/04/2021,0.04
10/01/2021,0.04
09/30/2021,0.04
09/29/2021,0.04
09/28/2021,0.04
09/27/2021,0.04
09/24/2021,0.03
09/23/2021,0.03
09/22/2021,0.03
09/21/2021,0.03
09/20/2021,0.04
09/17/2021,0.04
09/16/2021,0.04
09/15/2021,0.04
09/14/2021,0.04
09/13/2021,0.06
09/10/2021,0.05
09/09/2021,0.04
09/08/2021,0.05
09/07/2021,0.05
09/03/2021,0.05
09/02/2021,0.05
09/01/2021,0.05
08/31/2021,0.04
08/30/2021,0.05
08/27/2021,0.05
08/26/2021,0.05
08/25/2021,0.06
08/24/2021,0.05
08/23/2021,0.05
08/20/2021,0.05
08/19/2021,0.06
08/18/2021,0.07
08/17/2021,0.07
08/16/2021,0.06
08/13/2021,0.06
08/12/2021,0.06
08/11/2021,0.05
08/10/2021,0.05
08/09/2021,0.06
08/06/2021,0.06
08/05/2021,0.05
08/04/2021,0.05
08/03/2021,0.05
08/02/2021,0.05
07/30/2021,0.06
07/29/2021,0.06
07/28/2021,0.05
07/27/2021,0.05
07/26/2021,0.05
07/23/2021,0.05
07/22/2021,0.05
07/21/2021,0.05
07/20/2021,0.05
07/19/2021,0.05
07/16/2021,0.05
07/15/2021,0.05
07/14/2021,0.06
07/13/2021,0.05
07/12/2021,0.05
07/09/2021,0.06
07/08/2021,0.06
07/07/2021,0.05
07/06/2021,0.05
07/02/2021,0.05
07/01/2021,0.05
06/30/2021,0.05
06/29/2021,0.04
06/28/2021,0.05
06/25/2021,0.06
06/24/2021,0.05
06/23/2021,0.05
06/22/2021,0.04
06/21/2021,0.05
06/18/2021,0.05
06/17/2021,0.04
06/16/2021,0.04
06/15/2021,0.03
06/14/2021,0.03
06/11/2021,0.03
06/10/2021,0.03
06/09/2021,0.03
06/08/2021,0.02
06/07/2021,0.02
06/04/2021,0.02
06/03/2021,0.02
06/02/2021,0.02
06/01/2021,0.02
05/28/2021,0.01
05/27/2021,0.02
05/26/2021,0.02
05/25/2021,0.02
05/24/2021,0.02
05/21/2021,0.01
05/20/2021,0.01
