date, value
2017-05-08,113.2600
2017-05-09,113.9800
2017-05-10,114.2800
2017-05-11,113.8600
2017-05-12,113.3800
2017-05-15,113.7900
2017-05-16,113.1200
2017-05-17,110.8300
2017-05-18,111.4900
2017-05-19,111.2600
2017-05-22,111.3000
2017-05-23,111.7800
2017-05-24,111.4900
2017-05-25,111.8400
2017-05-26,111.3300
2017-05-29,111.2700
2017-05-30,110.8500
2017-05-31,110.7800
2017-06-01,111.3700
2017-06-02,110.4000
2017-06-05,110.4500
2017-06-06,109.4100
2017-06-07,109.8200
2017-06-08,110.0200
2017-06-09,110.3200
2017-06-12,109.9500
2017-06-13,110.0700
2017-06-14,109.5800
2017-06-15,110.9300
2017-06-16,110.8800
2017-06-19,111.5300
2017-06-20,111.4500
2017-06-21,111.3800
2017-06-22,111.3300
2017-06-23,111.2800
2017-06-26,111.8600
2017-06-27,112.3500
2017-06-28,112.3000
2017-06-29,112.1800
2017-06-30,112.3900
2017-07-03,113.3800
2017-07-04,113.2800
2017-07-05,113.2600
2017-07-06,113.2200
2017-07-07,113.9200
2017-07-10,114.0400
2017-07-11,113.9400
2017-07-12,113.1700
2017-07-13,113.2800
2017-07-14,112.5300
2017-07-17,112.6300
2017-07-18,112.0700
2017-07-19,111.9700
2017-07-20,111.9100
2017-07-21,111.1300
2017-07-24,111.1000
2017-07-25,111.8900
2017-07-26,111.1800
2017-07-27,111.2600
2017-07-28,110.6800
2017-07-31,110.2600
2017-08-01,110.3600
2017-08-02,110.7200
2017-08-03,110.0500
2017-08-04,110.6900
2017-08-07,110.7500
2017-08-08,110.3200
2017-08-09,110.0700
2017-08-10,109.2000
2017-08-11,109.1900
2017-08-14,109.6300
2017-08-15,110.6700
2017-08-16,110.1900
2017-08-17,109.5700
2017-08-18,109.1800
2017-08-21,108.9800
2017-08-22,109.5700
2017-08-23,109.0400
2017-08-24,109.5600
2017-08-25,109.3600
2017-08-28,109.2500
2017-08-29,109.7100
2017-08-30,110.2400
2017-08-31,109.9800
2017-09-01,110.2500
2017-09-04,109.7200
2017-09-05,108.8100
2017-09-06,109.2200
2017-09-07,108.4500
2017-09-08,107.8400
2017-09-11,109.3900
2017-09-12,110.1700
2017-09-13,110.4900
2017-09-14,110.2400
2017-09-15,110.8300
2017-09-18,111.5700
2017-09-19,111.5900
2017-09-20,112.2200
2017-09-21,112.4800
2017-09-22,111.9900
2017-09-25,111.7300
2017-09-26,112.2400
2017-09-27,112.8400
2017-09-28,112.3400
2017-09-29,112.5100
2017-10-02,112.7700
2017-10-03,112.8500
2017-10-04,112.7600
2017-10-05,112.8200
2017-10-06,112.6500
2017-10-09,112.6800
2017-10-10,112.4500
2017-10-11,112.5000
2017-10-12,112.2800
2017-10-13,111.8200
2017-10-16,112.1900
2017-10-17,112.2000
2017-10-18,112.9400
2017-10-19,112.5400
2017-10-20,113.5200
2017-10-23,113.4300
2017-10-24,113.9000
2017-10-25,113.7400
2017-10-26,113.9800
2017-10-27,113.6700
2017-10-30,113.1800
2017-10-31,113.6400
2017-11-01,114.1800
